q	Intensity
[nm-1]	[a.u.]
1.1614	0.000101686
1.16875	0.000100153
1.1688	0.00010014
1.17615	9.89019e-005
1.1762	9.88951e-005
1.1835	9.66629e-005
1.18355	9.66501e-005
1.1909	9.4845e-005
1.19094	9.48327e-005
1.1983	9.26771e-005
1.19834	9.26683e-005
1.2057	9.07464e-005
1.20573	9.07341e-005
1.2131	8.85556e-005
1.21313	8.85435e-005
1.2205	8.50003e-005
1.22052	8.49957e-005
1.2279	8.21982e-005
1.22791	8.21938e-005
1.2353	7.96453e-005
1.23531	7.96421e-005
1.2427	7.7162e-005
1.2501	7.35517e-005
1.25749	7.14461e-005
1.2575	7.14437e-005
1.26489	6.91355e-005
1.2649	6.91319e-005
1.27228	6.61508e-005
1.2723	6.61415e-005
1.27968	6.2855e-005
1.2797	6.28484e-005
1.28707	6.0724e-005
1.2871	6.07122e-005
1.29447	5.66945e-005
1.2945	5.66777e-005
1.30186	5.3702e-005
1.3019	5.36864e-005
1.30926	5.05494e-005
1.3093	5.05311e-005
1.3166	4.78963e-005
1.31665	4.78789e-005
1.324	4.57522e-005
1.32404	4.57306e-005
1.3314	4.21925e-005
1.33144	4.21786e-005
1.3388	3.95702e-005
1.33883	3.95616e-005
1.3462	3.72059e-005
1.34623	3.7195e-005
1.3536	3.43191e-005
1.35362	3.43123e-005
1.361	3.22223e-005
1.36101	3.222e-005
1.3684	3.03246e-005
1.36841	3.03218e-005
1.3758	2.7447e-005
1.3832	2.3974e-005
1.39059	2.23506e-005
1.3906	2.23484e-005
1.39798	2.23715e-005
1.398	2.2371e-005
1.40538	2.09319e-005
1.4054	2.09283e-005
1.41277	1.86551e-005
1.4128	1.86499e-005
1.42017	1.83e-005
1.4202	1.82941e-005
1.42756	1.72672e-005
1.4276	1.72579e-005
1.43495	1.52954e-005
1.435	1.52842e-005
1.4423	1.34795e-005
1.44235	1.34711e-005
1.4497	1.27467e-005
1.44974	1.27498e-005
1.4571	1.37314e-005
1.45713	1.37315e-005
1.4645	1.35745e-005
1.46453	1.35738e-005
1.4719	1.36318e-005
1.47192	1.3634e-005
1.4793	1.37171e-005
1.47931	1.37166e-005
1.4867	1.31347e-005
1.48671	1.3135e-005
1.4941	1.30323e-005
1.50149	1.27806e-005
1.5015	1.27801e-005
1.50889	1.29199e-005
1.5089	1.29208e-005
1.51628	1.39734e-005
1.5163	1.39747e-005
1.52367	1.46945e-005
1.5237	1.46946e-005
1.53107	1.41004e-005
1.5311	1.41042e-005
1.53846	1.37324e-005
1.5385	1.37264e-005
1.54585	1.41345e-005
1.5459	1.41398e-005
1.5532	1.60952e-005
1.55324	1.61045e-005
1.5606	1.73302e-005
1.56064	1.73315e-005
1.568	1.72658e-005
1.56803	1.72669e-005
1.5754	1.75833e-005
1.57542	1.75831e-005
1.5828	1.81564e-005
1.58281	1.81577e-005
1.5902	1.82949e-005
1.59021	1.82948e-005
1.5976	1.8312e-005
1.60499	1.99235e-005
1.605	1.99265e-005
1.61238	2.11733e-005
1.6124	2.11748e-005
1.61978	2.07772e-005
1.6198	2.07735e-005
1.62717	1.98604e-005
1.6272	1.98642e-005
1.63456	1.97744e-005
1.6346	1.9769e-005
1.64195	1.86133e-005
1.642	1.86045e-005
1.6493	1.68515e-005
1.64935	1.68391e-005
1.6567	1.49913e-005
1.65674	1.49787e-005
1.6641	1.22778e-005
1.66413	1.22742e-005
1.6715	1.20082e-005
1.67152	1.20081e-005
1.6789	1.17011e-005
1.67891	1.16995e-005
1.6863	1.09401e-005
1.68631	1.09403e-005
1.6937	1.07183e-005
1.70109	1.03763e-005
1.7011	1.03761e-005
1.70848	1.14293e-005
1.7085	1.14316e-005
1.71587	1.25428e-005
1.7159	1.25498e-005
1.72326	1.44089e-005
1.7233	1.44178e-005
1.73065	1.5467e-005
1.7307	1.54743e-005
1.738	1.7272e-005
1.73805	1.72901e-005
1.7454	2.01698e-005
1.74544	2.0185e-005
1.7528	2.20303e-005
1.75283	2.20363e-005
1.7602	2.4129e-005
1.76022	2.41306e-005
1.7676	2.44016e-005
1.76761	2.44005e-005
1.775	2.43377e-005
1.78239	2.50742e-005
1.7824	2.50749e-005
1.78978	2.52311e-005
1.7898	2.52328e-005
1.79718	2.54679e-005
1.7972	2.54689e-005
1.80457	2.60662e-005
1.8046	2.60687e-005
1.81196	2.62223e-005
1.812	2.62212e-005
1.8193	2.64005e-005
1.81935	2.63873e-005
1.8267	2.49869e-005
1.82674	2.4982e-005
1.8341	2.34923e-005
1.83413	2.34872e-005
1.8415	2.20088e-005
1.84152	2.20041e-005
1.8489	2.15367e-005
1.84891	2.1537e-005
1.8563	2.13887e-005
1.86369	2.07681e-005
1.8637	2.0767e-005
1.87108	2.00362e-005
1.8711	2.00362e-005
1.87847	1.89174e-005
1.8785	1.89118e-005
1.88586	1.71954e-005
1.8859	1.71886e-005
1.89325	1.6176e-005
1.8933	1.61659e-005
1.9006	1.5235e-005
1.90064	1.52295e-005
1.908	1.39277e-005
1.90803	1.39206e-005
1.9154	1.27703e-005
1.91542	1.27677e-005
1.9228	1.22847e-005
1.92281	1.22852e-005
1.9302	1.17703e-005
1.93759	1.14759e-005
1.9376	1.14757e-005
1.94498	1.13939e-005
1.945	1.13931e-005
1.95237	1.02322e-005
1.9524	1.02324e-005
1.95976	1.02656e-005
1.9598	1.02627e-005
1.96715	9.26404e-006
1.9672	9.2575e-006
1.9745	8.26347e-006
1.97454	8.2664e-006
1.9819	7.83506e-006
1.98193	7.8304e-006
1.9893	6.84694e-006
1.98932	6.84781e-006
1.9967	7.59156e-006
1.99671	7.59193e-006
2.0041	8.174e-006
2.01149	8.15542e-006
2.0115	8.15446e-006
2.01888	7.2846e-006
2.0189	7.28515e-006
2.02626	7.33768e-006
2.0263	7.33821e-006
2.03365	8.51385e-006
2.0337	8.51921e-006
2.041	9.8979e-006
2.04104	9.9027e-006
2.0484	1.02691e-005
2.04843	1.02672e-005
2.0558	9.30383e-006
2.05582	9.30295e-006
2.0632	9.38936e-006
2.06321	9.39015e-006
2.0706	1.0873e-005
2.07799	1.14637e-005
2.078	1.14647e-005
2.08537	1.25844e-005
2.0854	1.2586e-005
2.09276	1.27413e-005
2.0928	1.27444e-005
2.10015	1.36754e-005
2.1002	1.3681e-005
2.1075	1.49672e-005
2.10754	1.49703e-005
2.1149	1.53628e-005
2.11493	1.53664e-005
2.1223	1.70436e-005
2.12232	1.70488e-005
2.1297	1.85303e-005
2.13709	1.85303e-005
2.1371	1.85291e-005
2.14448	1.79661e-005
2.1445	1.79637e-005
2.15187	1.78907e-005
2.1519	1.78925e-005
2.15926	1.781e-005
2.1593	1.78114e-005
2.1666	1.82839e-005
2.16664	1.82806e-005
2.174	1.75954e-005
2.17403	1.75959e-005
2.1814	1.79323e-005
2.18142	1.79347e-005
2.1888	1.78823e-005
2.18881	1.78808e-005
2.19619	1.71589e-005
2.1962	1.71579e-005
2.20358	1.65867e-005
2.2036	1.6585e-005
2.21097	1.58687e-005
2.211	1.58663e-005
2.21835	1.5165e-005
2.2184	1.51585e-005
2.2257	1.46978e-005
2.22574	1.46952e-005
2.2331	1.51699e-005
2.23313	1.51722e-005
2.2405	1.54323e-005
2.24052	1.54291e-005
2.2479	1.41883e-005
2.25529	1.42621e-005
2.2553	1.42619e-005
2.26268	1.42797e-005
2.2627	1.42808e-005
2.27006	1.40174e-005
2.2701	1.40172e-005
2.2774	1.48047e-005
2.27745	1.48054e-005
2.2848	1.47029e-005
2.28484	1.47013e-005
2.2922	1.42502e-005
2.29222	1.4252e-005
2.2996	1.49138e-005
2.29961	1.4914e-005
2.307	1.50507e-005
2.31438	1.5685e-005
2.3144	1.5688e-005
2.32177	1.64087e-005
2.3218	1.64062e-005
2.32915	1.59421e-005
2.3292	1.59452e-005
2.3365	1.55939e-005
2.33654	1.55924e-005
2.3439	1.57466e-005
2.34393	1.57489e-005
2.3513	1.5548e-005
2.35131	1.55488e-005
2.3587	1.6398e-005
2.36608	1.6163e-005
2.3661	1.61635e-005
2.37347	1.6384e-005
2.3735	1.63851e-005
2.38085	1.64674e-005
2.3809	1.64641e-005
2.3882	1.47712e-005
2.38824	1.4768e-005
2.3956	1.41683e-005
2.39562	1.41677e-005
2.403	1.47399e-005
2.40301	1.47393e-005
2.41039	1.40197e-005
2.4104	1.40186e-005
2.41778	1.36439e-005
2.4178	1.36431e-005
2.42516	1.30275e-005
2.4252	1.30239e-005
2.4325	1.16822e-005
2.43255	1.16796e-005
2.4399	1.13493e-005
2.43993	1.13486e-005
2.4473	1.09419e-005
2.44732	1.09412e-005
2.4547	1.08803e-005
2.46209	1.09509e-005
2.4621	1.09506e-005
2.46947	1.01486e-005
2.4695	1.01461e-005
2.47686	9.77486e-006
2.4769	9.76937e-006
2.4842	9.3933e-006
2.48424	9.3933e-006
2.4916	9.24583e-006
2.49163	9.24427e-006
2.499	9.90786e-006
2.49901	9.90765e-006
2.50639	9.28868e-006
2.5064	9.28784e-006
2.51378	8.19897e-006
2.5138	8.19632e-006
2.52116	8.92999e-006
2.5212	8.93429e-006
2.5285	1.0292e-005
2.52855	1.02967e-005
2.5359	1.12454e-005
2.53593	1.12425e-005
2.5433	1.00276e-005
2.54331	1.00261e-005
2.5507	8.547e-006
2.55808	9.1726e-006
2.5581	9.17376e-006
2.56546	1.00597e-005
2.5655	1.00643e-005
2.5728	1.0147e-005
2.57285	1.01462e-005
2.5802	9.56522e-006
2.58023	9.56479e-006
2.5876	9.87107e-006
2.58761	9.87101e-006
2.595	9.968e-006
2.60238	9.97086e-006
2.6024	9.97133e-006
2.60976	9.4843e-006
2.6098	9.47927e-006
2.6171	8.80683e-006
2.61715	8.80708e-006
2.6245	8.70752e-006
2.62453	8.70715e-006
2.6319	9.21947e-006
2.63191	9.21981e-006
2.63929	9.35052e-006
2.6393	9.35083e-006
2.64668	8.29585e-006
2.6467	8.29406e-006
2.65406	8.439e-006
2.6541	8.43547e-006
2.6614	8.2392e-006
2.66144	8.23619e-006
2.6688	7.16218e-006
2.66882	7.15923e-006
2.6762	7.03478e-006
2.67621	7.03336e-006
2.68359	5.7023e-006
2.6836	5.6999e-006
2.69097	5.44541e-006
2.691	5.44618e-006
2.69835	5.48625e-006
2.6984	5.48605e-006
2.7057	5.94744e-006
2.70573	5.94589e-006
2.7131	5.28328e-006
2.71312	5.28262e-006
2.7205	4.67867e-006
2.72788	4.92142e-006
2.7279	4.92068e-006
2.73526	5.3056e-006
2.7353	5.31097e-006
2.7426	4.89703e-006
2.74264	4.89721e-006
2.75	4.43071e-006
