 17-Feb-2013       (cy_0036.dat - 1.0*Aver(cy_0035.dat,cy_0037.dat) /  2.6100 
 cy_0036.dat  Conc = .26E+01  N1 =    1  N2 = 1639
 cy_0035.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
 cy_0037.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
  0.487120E+00  0.674718E+03  0.104433E+02
  0.489772E+00  0.650464E+03  0.101432E+02
  0.492425E+00  0.640489E+03  0.101364E+02
  0.495077E+00  0.646469E+03  0.100830E+02
  0.497729E+00  0.651111E+03  0.102281E+02
  0.500381E+00  0.631931E+03  0.102872E+02
  0.503033E+00  0.626222E+03  0.995644E+01
  0.505685E+00  0.673538E+03  0.102854E+02
  0.508338E+00  0.627979E+03  0.100889E+02
  0.510990E+00  0.657898E+03  0.102090E+02
  0.513642E+00  0.654234E+03  0.102762E+02
  0.516294E+00  0.644619E+03  0.101247E+02
  0.518946E+00  0.631125E+03  0.103624E+02
  0.521599E+00  0.629031E+03  0.100010E+02
  0.524251E+00  0.630092E+03  0.102280E+02
  0.526903E+00  0.619810E+03  0.102358E+02
  0.529555E+00  0.624285E+03  0.101147E+02
  0.532207E+00  0.630303E+03  0.102925E+02
  0.534859E+00  0.637176E+03  0.100920E+02
  0.537512E+00  0.634726E+03  0.102008E+02
  0.540164E+00  0.629155E+03  0.100595E+02
  0.542816E+00  0.615862E+03  0.102345E+02
  0.545468E+00  0.632557E+03  0.103284E+02
  0.548120E+00  0.639312E+03  0.100401E+02
  0.550773E+00  0.608335E+03  0.101704E+02
  0.553425E+00  0.626600E+03  0.101826E+02
  0.556077E+00  0.614036E+03  0.103030E+02
  0.558729E+00  0.624688E+03  0.101018E+02
  0.561381E+00  0.615916E+03  0.100495E+02
  0.564033E+00  0.604992E+03  0.100998E+02
  0.566686E+00  0.604906E+03  0.100854E+02
  0.569338E+00  0.611515E+03  0.993763E+01
  0.571990E+00  0.609895E+03  0.100519E+02
  0.574642E+00  0.595925E+03  0.996370E+01
  0.577294E+00  0.616343E+03  0.996035E+01
  0.579947E+00  0.618349E+03  0.101285E+02
  0.582599E+00  0.609983E+03  0.984571E+01
  0.585251E+00  0.609962E+03  0.987456E+01
  0.587903E+00  0.598172E+03  0.993099E+01
  0.590555E+00  0.610718E+03  0.988400E+01
  0.593207E+00  0.596603E+03  0.980085E+01
  0.595860E+00  0.593718E+03  0.987909E+01
  0.598512E+00  0.590230E+03  0.977221E+01
  0.601164E+00  0.581483E+03  0.985971E+01
  0.603816E+00  0.588337E+03  0.959739E+01
  0.606468E+00  0.600056E+03  0.988150E+01
  0.609121E+00  0.609812E+03  0.979847E+01
  0.611773E+00  0.602661E+03  0.981645E+01
  0.614425E+00  0.579134E+03  0.957837E+01
  0.617077E+00  0.592527E+03  0.950273E+01
  0.619729E+00  0.567904E+03  0.982644E+01
  0.622381E+00  0.576113E+03  0.966314E+01
  0.625034E+00  0.611423E+03  0.975208E+01
  0.627686E+00  0.577161E+03  0.955769E+01
  0.630338E+00  0.583138E+03  0.950666E+01
  0.632990E+00  0.568964E+03  0.970279E+01
  0.635642E+00  0.569648E+03  0.958308E+01
  0.638294E+00  0.561636E+03  0.934542E+01
  0.640947E+00  0.566941E+03  0.966549E+01
  0.643599E+00  0.580868E+03  0.936095E+01
  0.646251E+00  0.560284E+03  0.954997E+01
  0.648903E+00  0.567734E+03  0.926883E+01
  0.651555E+00  0.547693E+03  0.927463E+01
  0.654208E+00  0.556063E+03  0.943763E+01
  0.656860E+00  0.566693E+03  0.934981E+01
  0.659512E+00  0.566130E+03  0.948369E+01
  0.662164E+00  0.552379E+03  0.927823E+01
  0.664816E+00  0.560519E+03  0.970070E+01
  0.667468E+00  0.543619E+03  0.978206E+01
  0.670121E+00  0.547992E+03  0.964060E+01
  0.672773E+00  0.550443E+03  0.989550E+01
  0.675425E+00  0.564008E+03  0.975557E+01
  0.678077E+00  0.548692E+03  0.986503E+01
  0.680729E+00  0.552466E+03  0.986953E+01
  0.683382E+00  0.544688E+03  0.970811E+01
  0.686034E+00  0.536826E+03  0.991898E+01
  0.688686E+00  0.552651E+03  0.996235E+01
  0.691338E+00  0.541418E+03  0.100571E+02
  0.693990E+00  0.532554E+03  0.974089E+01
  0.696642E+00  0.543197E+03  0.991643E+01
  0.699295E+00  0.546381E+03  0.100887E+02
  0.701947E+00  0.536927E+03  0.100878E+02
  0.704599E+00  0.538333E+03  0.100328E+02
  0.707251E+00  0.543259E+03  0.978851E+01
  0.709903E+00  0.538692E+03  0.964791E+01
  0.712556E+00  0.521475E+03  0.965860E+01
  0.715208E+00  0.526287E+03  0.954697E+01
  0.717860E+00  0.528098E+03  0.955533E+01
  0.720512E+00  0.531617E+03  0.944338E+01
  0.723164E+00  0.515872E+03  0.947464E+01
  0.725816E+00  0.527117E+03  0.951745E+01
  0.728469E+00  0.519498E+03  0.923070E+01
  0.731121E+00  0.514649E+03  0.932418E+01
  0.733773E+00  0.522046E+03  0.933481E+01
  0.736425E+00  0.527525E+03  0.933813E+01
  0.739077E+00  0.506979E+03  0.921340E+01
  0.741730E+00  0.516494E+03  0.920227E+01
  0.744382E+00  0.509983E+03  0.917430E+01
  0.747034E+00  0.502772E+03  0.916957E+01
  0.749686E+00  0.503475E+03  0.912164E+01
  0.752338E+00  0.515807E+03  0.913930E+01
  0.754990E+00  0.491370E+03  0.914116E+01
  0.757643E+00  0.502262E+03  0.912571E+01
  0.760295E+00  0.506960E+03  0.909431E+01
  0.762947E+00  0.498170E+03  0.892751E+01
  0.765599E+00  0.500351E+03  0.903431E+01
  0.768251E+00  0.499111E+03  0.905332E+01
  0.770904E+00  0.504406E+03  0.899234E+01
  0.773556E+00  0.496962E+03  0.893843E+01
  0.776208E+00  0.486046E+03  0.882289E+01
  0.778860E+00  0.504100E+03  0.888943E+01
  0.781512E+00  0.487192E+03  0.910383E+01
  0.784164E+00  0.489420E+03  0.875294E+01
  0.786817E+00  0.493734E+03  0.889039E+01
  0.789469E+00  0.483887E+03  0.882384E+01
