Sample description: 122017_NIA		
Parent(s): /var/folders/js/_bv5yn1j5hz2qq2z5bktr8kr0000gn/T/qt_temp.br8751 /var/folders/js/_bv5yn1j5hz2qq2z5bktr8kr0000gn/T/qt_temp.cr8751		
1.93E+00	1.48E+01	1.75E+00
1.95E+00	1.45E+01	1.74E+00
1.96E+00	1.53E+01	1.73E+00
1.98E+00	1.88E+01	1.73E+00
1.99E+00	1.55E+01	1.72E+00
2.01E+00	1.13E+01	1.71E+00
parent: /var/folders/js/_bv5yn1j5hz2qq2z5bktr8kr0000gn/T/qt_temp.br8751		
parent: /var/folders/js/_bv5yn1j5hz2qq2z5bktr8kr0000gn/T/qt_temp.cr8751		
creator: datop		
creator-version: v0.2 (r2835)		
datop-operation: /var/folders/js/_bv5yn1j5hz2qq2z5bktr8kr0000gn/T/qt_temp.br8751 - /var/folders/js/_bv5yn1j5hz2qq2z5bktr8kr0000gn/T/qt_temp.cr8751		
